1.49	2.2201
1.98	3.9204
2.47	6.1009
2.96	8.7616
3.45	11.9025
3.94	15.5236
4.43	19.6249
4.92	24.2064
5.41	29.2681
5.9	34.81
6.39	40.8321
6.88	47.3344
7.37	54.3169
7.86	61.7796
8.35	69.7225
8.84	78.1456
9.33	87.0489
9.82	96.4324
10.31	106.296
10.8	116.64
11.29	127.464
11.78	138.768
12.27	150.553
12.76	162.818
13.25	175.562
13.74	188.788
14.23	202.493
14.72	216.678
15.21	231.344
15.7	246.49
16.19	262.116
16.68	278.222
17.17	294.809
17.66	311.876
18.15	329.422
18.64	347.45
19.13	365.957
19.62	384.944
20.11	404.412
20.6	424.36
21.09	444.788
21.58	465.696
22.07	487.085
22.56	508.954
23.05	531.303
23.54	554.132
24.03	577.441
24.52	601.23
25.01	625.5
25.5	650.25
25.99	675.48
26.48	701.19
26.97	727.381
27.46	754.052
27.95	781.203
28.44	808.834
28.93	836.945
29.42	865.536
29.91	894.608
30.4	924.16
30.89	954.192
31.38	984.704
31.87	1015.7
32.36	1047.17
32.85	1079.12
33.34	1111.56
33.83	1144.47
34.32	1177.86
34.81	1211.74
35.3	1246.09
35.79	1280.92
36.28	1316.24
36.77	1352.03
37.26	1388.31
37.75	1425.06
38.24	1462.3
38.73	1500.01
39.22	1538.21
39.71	1576.88
40.2	1616.04
40.69	1655.68
41.18	1695.79
41.67	1736.39
42.16	1777.47
42.65	1819.02
43.14	1861.06
43.63	1903.58
44.12	1946.57
44.61	1990.05
45.1	2034.01
45.59	2078.45
46.08	2123.37
46.57	2168.76
47.06	2214.64
47.55	2261
48.04	2307.84
48.53	2355.16
49.02	2402.96
49.51	2451.24
